datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
23.02.2025;Bundestagswahl;14713000;2729;2729;1;1;789;309;0;1098;635;2;2;633;3;632;228;239;40;49;200;157;12;20;60;53;19;31;9;5;;6;7;6;;1;2;3;;0;1;0;1;1;52;61;0;;2;;;
23.02.2025;Bundestagswahl;14713000;2731;2731;1;1;765;269;0;1034;535;4;5;530;5;530;221;219;46;41;123;94;10;16;53;67;18;24;10;10;;4;5;4;;0;3;3;;1;0;0;0;1;37;46;2;;2;;;
23.02.2025;Bundestagswahl;14713000;2809;2809;1;1;460;286;0;746;390;3;2;388;3;387;134;135;41;35;127;109;8;10;27;36;13;21;5;4;;2;2;1;;0;1;2;;1;0;0;1;1;22;30;5;;2;;;
23.02.2025;Bundestagswahl;14713000;2811;2811;1;1;438;285;0;723;409;5;0;409;0;409;136;140;34;27;135;114;8;21;31;27;28;37;8;7;;3;2;3;;0;0;0;;0;0;0;1;0;23;30;3;;0;;;
23.02.2025;Bundestagswahl;14713000;2900;2900;1;1;925;375;0;1300;608;3;2;606;2;606;294;306;35;43;146;109;13;21;48;44;6;17;16;9;;8;6;4;;0;2;2;;0;0;1;0;0;40;42;0;;0;;;
23.02.2025;Bundestagswahl;14713000;2919;2919;1;1;359;124;0;483;318;1;1;317;3;315;157;159;16;15;92;79;0;7;14;18;4;7;3;2;;4;3;1;;0;1;0;;0;1;0;4;0;21;23;0;;1;;;
23.02.2025;Bundestagswahl;14713000;3001;3001;1;1;752;639;0;1391;628;9;0;628;1;627;86;86;40;58;68;78;16;21;309;195;74;132;4;3;;6;4;3;;0;;5;0;0;;0;3;1;24;39;;;;;;
23.02.2025;Bundestagswahl;14713000;3009;3009;1;1;783;611;0;1394;634;11;1;633;1;633;82;74;36;48;52;52;9;17;344;222;65;155;3;1;;6;4;3;;3;;12;4;1;;0;0;0;34;39;;;;;;
23.02.2025;Bundestagswahl;14713000;3011;3011;1;1;705;603;0;1308;498;3;1;497;1;497;59;55;31;42;27;26;5;16;316;226;34;94;2;1;;1;6;2;;0;;0;0;0;;2;1;0;16;32;;;;;;
23.02.2025;Bundestagswahl;14713000;3019;3019;1;1;726;631;0;1357;608;10;2;606;5;603;76;76;39;64;37;31;5;10;348;241;66;129;4;4;;4;6;3;;1;;4;1;1;;0;0;0;24;35;;;;;;
23.02.2025;Bundestagswahl;14713000;3021;3021;1;1;660;674;0;1334;577;3;2;575;2;575;54;53;36;59;47;46;7;22;328;201;68;148;4;3;;2;4;5;;0;;6;4;2;;0;0;0;23;28;;;;;;
23.02.2025;Bundestagswahl;14713000;3029;3029;1;1;746;661;0;1407;591;10;1;590;1;590;80;85;48;62;59;63;23;32;282;194;62;109;6;4;;6;7;6;;0;;8;1;0;;0;1;1;21;20;;;;;;
23.02.2025;Bundestagswahl;14713000;3031;3031;1;1;942;524;0;1466;686;7;2;684;2;684;147;142;53;70;63;68;10;9;347;253;34;89;2;3;;6;4;2;;2;;3;2;1;;0;1;1;21;35;;;;;;
23.02.2025;Bundestagswahl;14713000;3049;3049;1;1;674;527;0;1201;568;4;3;565;2;566;68;72;35;47;50;47;7;15;307;212;57;127;4;2;;9;7;9;;1;;5;2;1;;1;2;2;26;16;;;;;;
